Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Need for Speed: ProStreet| https://www.vgchartz.com/game/12754/need-for-speed-prostreet/| 2007| Racing| Electronic Arts| 0.73| 0.91| 0.04| 0.36| 2.04| PlayStation 3
Madden NFL 25| https://www.vgchartz.com/game/71987/madden-nfl-25/| 2013| Sports| Electronic Arts| 1.62| 0.03| 0.00| 0.38| 2.04| PlayStation 3
Skate 3| https://www.vgchartz.com/game/39124/skate-3/| 2010| Sports| EA Sports| 0.79| 0.93| 0.00| 0.32| 2.03| PlayStation 3
The Sims 3| https://www.vgchartz.com/game/43343/the-sims-3/| 2010| Simulation| Electronic Arts| 0.73| 0.96| 0.02| 0.31| 2.03| PlayStation 3
Need for Speed: The Run| https://www.vgchartz.com/game/51003/need-for-speed-the-run/| 2011| Racing| Electronic Arts| 0.58| 1.05| 0.03| 0.35| 2.01| PlayStation 3
Diablo III| https://www.vgchartz.com/game/50269/diablo-iii/| 2013| Role-Playing| Blizzard Entertainment| 0.73| 0.81| 0.16| 0.30| 2.01| PlayStation 3
Dead Space| https://www.vgchartz.com/game/13107/dead-space/| 2008| Shooter| Electronic Arts| 1.05| 0.66| 0.00| 0.29| 2.00| PlayStation 3
Lego Marvel Super Heroes| https://www.vgchartz.com/game/71343/lego-marvel-super-heroes/| 2013| Action| Warner Bros. Interactive Entertainment| 0.77| 0.85| 0.01| 0.32| 1.96| PlayStation 3
Call of Duty: Black Ops 3| https://www.vgchartz.com/game/85731/call-of-duty-black-ops-3/| 2015| Shooter| Activision| 0.65| 0.92| 0.07| 0.30| 1.95| PlayStation 3
Burnout Paradise| https://www.vgchartz.com/game/13648/burnout-paradise/| 2008| Racing| Electronic Arts| 1.01| 0.63| 0.02| 0.28| 1.95| PlayStation 3
Guitar Hero: World Tour| https://www.vgchartz.com/game/23197/guitar-hero-world-tour/| 2008| Misc| Activision| 1.10| 0.55| 0.00| 0.27| 1.92| PlayStation 3
Ratchet & Clank: A Crack in Time| https://www.vgchartz.com/game/32975/ratchet-amp-clank-future-a-crack-in-time/| 2009| Platform| Sony Computer Entertainment| 1.05| 0.55| 0.03| 0.26| 1.89| PlayStation 3
Madden NFL 09| https://www.vgchartz.com/game/14673/madden-nfl-09/| 2008| Sports| EA Sports| 1.56| 0.15| 0.00| 0.18| 1.89| PlayStation 3
inFamous 2| https://www.vgchartz.com/game/39923/infamous-2/| 2011| Action| Sony Computer Entertainment| 1.05| 0.48| 0.08| 0.26| 1.87| PlayStation 3
Max Payne 3| https://www.vgchartz.com/game/32877/max-payne-3/| 2012| Shooter| Rockstar Games| 0.59| 0.93| 0.06| 0.27| 1.86| PlayStation 3
