platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Nintendo Wii|Twin Strike: Operation Thunder|7|10/10/2008|N|N|N|N|N|N|Y|N||Zushi Games|Nintendo Wii
Nintendo Wii|NHL 2K9|16|10/10/2008|N|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Nintendo Wii
Nintendo Wii|Crash: Mind Over Mutant|7|07/10/2008|N|N|N|N|N|N|Y|N||Blizzard Entertainment SAS|Nintendo Wii
Nintendo Wii|FIFA 09|3|03/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Ferrari Challenge|3|12/09/2008|N|N|N|N|N|N|N|N||SYSTEM 3 LTD|Nintendo Wii
Nintendo Wii|Meine Tierarztpraxis|3|12/09/2008|N|N|N|N|N|N|N|N||Treva Entertainment Gmbh|Nintendo Wii
Nintendo Wii|PopStarGuitar|12|10/09/2008|Y|N|N|N|N|Y|N|N||Dibbit Ltd|Nintendo Wii
Nintendo Wii|Tiger Woods PGA Tour 09|3|08/09/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|WSC Real 08|3|05/09/2008|N|N|N|N|N|N|N|N||Dark Energy Digital|Nintendo Wii
Nintendo Wii|Samba De Amigo|3|05/09/2008|N|N|N|N|N|N|N|N||SEGA Europe Ltd|Nintendo Wii
Nintendo Wii|HELL'S KITCHEN|12|04/09/2008|Y|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|TNA iMPACT! Wrestling|16|04/09/2008|N|N|N|N|N|N|Y|N||Tradewest Games Ltd|Nintendo Wii
Nintendo Wii|Crazy Mini Golf|3|25/08/2008|N|N|N|N|N|N|N|N||Data Design Interactive Limited|Nintendo Wii
Nintendo Wii|Super Swing Golf|3|22/08/2008|N|N|N|N|N|N|N|N||Rising Star Games Ltd|Nintendo Wii
Nintendo Wii|Ferrari Challenge|3|12/09/2008|N|N|N|N|N|N|N|N||SYSTEM 3 LTD|Nintendo Wii
Nintendo Wii|Meine Tierarztpraxis|3|12/09/2008|N|N|N|N|N|N|N|N||Treva Entertainment Gmbh|Nintendo Wii
Nintendo Wii|PopStarGuitar|12|10/09/2008|Y|N|N|N|N|Y|N|N||Dibbit Ltd|Nintendo Wii
Nintendo Wii|Tiger Woods PGA Tour 09|3|08/09/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|WSC Real 08|3|05/09/2008|N|N|N|N|N|N|N|N||Dark Energy Digital|Nintendo Wii
Nintendo Wii|Samba De Amigo|3|05/09/2008|N|N|N|N|N|N|N|N||SEGA Europe Ltd|Nintendo Wii
Nintendo Wii|HELL'S KITCHEN|12|04/09/2008|Y|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|TNA iMPACT! Wrestling|16|04/09/2008|N|N|N|N|N|N|Y|N||Tradewest Games Ltd|Nintendo Wii
Nintendo Wii|Crazy Mini Golf|3|25/08/2008|N|N|N|N|N|N|N|N||Data Design Interactive Limited|Nintendo Wii
Nintendo Wii|Super Swing Golf|3|22/08/2008|N|N|N|N|N|N|N|N||Rising Star Games Ltd|Nintendo Wii
Nintendo Wii|Ferrari Challenge|3|12/09/2008|N|N|N|N|N|N|N|N||SYSTEM 3 LTD|Nintendo Wii
Nintendo Wii|Meine Tierarztpraxis|3|12/09/2008|N|N|N|N|N|N|N|N||Treva Entertainment Gmbh|Nintendo Wii
