Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Saints Row 3| https://www.vgchartz.com/game/33324/saints-row-the-third/| 2011| Action| THQ| 1.26| 1.14| 0.07| 0.30| 2.77| Xbox 360
L.A. Noire| https://www.vgchartz.com/game/47563/la-noire/| 2011| Adventure| Rockstar Games| 1.55| 0.92| 0.02| 0.24| 2.73| Xbox 360
Skate 3| https://www.vgchartz.com/game/39125/skate-3/| 2010| Sports| EA Sports| 1.47| 0.99| 0.00| 0.25| 2.71| Xbox 360
Madden NFL 12| https://www.vgchartz.com/game/50440/madden-nfl-12/| 2011| Sports| EA Sports| 2.43| 0.11| 0.00| 0.16| 2.70| Xbox 360
Call of Duty 3| https://www.vgchartz.com/game/2966/call-of-duty-3/| 2006| Shooter| Spike| 1.49| 0.92| 0.02| 0.27| 2.70| Xbox 360
Madden NFL 11| https://www.vgchartz.com/game/43128/madden-nfl-11/| 2010| Sports| EA Sports| 2.38| 0.12| 0.00| 0.19| 2.69| Xbox 360
Halo Wars| https://www.vgchartz.com/game/7715/halo-wars/| 2009| Strategy| Microsoft Game Studios| 1.58| 0.80| 0.04| 0.25| 2.67| Xbox 360
Guitar Hero: World Tour| https://www.vgchartz.com/game/23199/guitar-hero-world-tour/| 2008| Misc| Activision| 1.78| 0.64| 0.00| 0.25| 2.66| Xbox 360
Medal of Honor| https://www.vgchartz.com/game/41326/medal-of-honor/| 2010| Shooter| Electronic Arts| 1.58| 0.80| 0.04| 0.22| 2.64| Xbox 360
NBA 2K12| https://www.vgchartz.com/game/50999/nba-2k12/| 2011| Sports| 2K Sports| 2.32| 0.14| 0.01| 0.17| 2.64| Xbox 360
FIFA 10| https://www.vgchartz.com/game/35354/fifa-soccer-10/| 2009| Sports| EA Sports| 0.60| 1.79| 0.01| 0.23| 2.62| Xbox 360
Grand Theft Auto: Episodes from Liberty City| https://www.vgchartz.com/game/34859/grand-theft-auto-episodes-from-liberty-city/| 2009| Adventure| Rockstar Games| 1.08| 1.22| 0.03| 0.27| 2.60| Xbox 360
Lego Star Wars: The Complete Saga| https://www.vgchartz.com/game/12539/lego-star-wars-the-complete-saga/| 2007| Action| LucasArts| 1.53| 0.83| 0.00| 0.24| 2.59| Xbox 360
NBA 2K14| https://www.vgchartz.com/game/72228/nba-2k14/| 2013| Sports| 2K Sports| 2.11| 0.19| 0.00| 0.27| 2.57| Xbox 360
Dragon Age: Origins| https://www.vgchartz.com/game/33505/dragon-age-origins/| 2009| Role-Playing| Electronic Arts| 1.76| 0.55| 0.03| 0.22| 2.56| Xbox 360
Madden NFL 09| https://www.vgchartz.com/game/14678/madden-nfl-09/| 2008| Sports| EA Sports| 2.21| 0.12| 0.00| 0.20| 2.54| Xbox 360
Marvel: Ultimate Alliance| https://www.vgchartz.com/game/5328/marvel-ultimate-alliance/| 2006| Role-Playing| Activision| 2.29| 0.02| 0.00| 0.19| 2.50| Xbox 360
Pure| https://www.vgchartz.com/game/21906/pure/| 2008| Racing| Disney Interactive Studios| 1.38| 0.84| 0.00| 0.25| 2.47| Xbox 360
Rock Band| https://www.vgchartz.com/game/6965/rock-band/| N/A| Misc| MTV Games| 1.93| 0.33| 0.00| 0.21| 2.47| Xbox 360
Tom Clancy's Rainbow Six: Vegas 2| https://www.vgchartz.com/game/15674/tom-clancys-rainbow-six-vegas-2/| 2008| Shooter| Ubisoft| 1.56| 0.61| 0.02| 0.23| 2.42| Xbox 360
Disneyland Adventures| https://www.vgchartz.com/game/51748/kinect-disneyland-adventures/| 2011| Action-Adventure| Microsoft Studios| 1.73| 0.43| 0.02| 0.23| 2.41| Xbox 360
