platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
PlayStation 3|Doctor Who: The Eternity Clock|12|13/03/2012|Y|N|N|N|N|N|Y|N||BBC Worldwide (Digital Entertainment &amp; Games)|Playstation 3
PlayStation 3|WWE WrestleFest|12|12/03/2012|N|N|N|N|N|N|Y|N||THQ Inc|Playstation 3
PlayStation 3|PlayStationÂ®Move Heroes|12|09/03/2012|N|N|N|N|N|N|Y|N||âSony Interactive Entertainment Europeâ|Playstation 3
PlayStation 3|Mass Effect 3|18|09/03/2012|Y|N|N|N|N|N|Y|N||EA Swiss Sarl|Playstation 3
PlayStation 3|Cabela's Big Game Hunter 2012|16|08/03/2012|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Playstation 3
PlayStation 3|Armored Core V|12|02/03/2012|Y|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Alien Breed Trilogy|16|02/03/2012|N|N|N|N|N|N|Y|N||Mastertronic Group Limited|Playstation 3
PlayStation 3|4 in 1 Action Pack|12|01/03/2012|N|N|N|N|N|N|Y|N||SouthPeak Interactive|Playstation 3
PlayStation 3|Farm Frenzy 3|3|01/03/2012|N|N|N|N|N|N|N|N||Alawar Entertainment Inc.|Playstation 3
PlayStation 3|Devil May Cry HD Collection|16|24/02/2012|N|N|N|N|N|N|Y|N||CE Europe Ltd.|Playstation 3
PlayStation 3|Doctor Who: The Eternity Clock|12|13/03/2012|Y|N|N|N|N|N|Y|N||BBC Worldwide (Digital Entertainment &amp; Games)|Playstation 3
PlayStation 3|WWE WrestleFest|12|12/03/2012|N|N|N|N|N|N|Y|N||THQ Inc|Playstation 3
PlayStation 3|PlayStationÂ®Move Heroes|12|09/03/2012|N|N|N|N|N|N|Y|N||âSony Interactive Entertainment Europeâ|Playstation 3
PlayStation 3|Mass Effect 3|18|09/03/2012|Y|N|N|N|N|N|Y|N||EA Swiss Sarl|Playstation 3
PlayStation 3|Cabela's Big Game Hunter 2012|16|08/03/2012|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Playstation 3
PlayStation 3|Armored Core V|12|02/03/2012|Y|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Alien Breed Trilogy|16|02/03/2012|N|N|N|N|N|N|Y|N||Mastertronic Group Limited|Playstation 3
PlayStation 3|4 in 1 Action Pack|12|01/03/2012|N|N|N|N|N|N|Y|N||SouthPeak Interactive|Playstation 3
PlayStation 3|Farm Frenzy 3|3|01/03/2012|N|N|N|N|N|N|N|N||Alawar Entertainment Inc.|Playstation 3
PlayStation 3|Devil May Cry HD Collection|16|24/02/2012|N|N|N|N|N|N|Y|N||CE Europe Ltd.|Playstation 3
PlayStation 3|Snipers|16|10/02/2012|N|N|N|N|N|N|Y|N||Bigben Interactive SA|Playstation 3
PlayStation 3|The Darkness II|18|10/02/2012|Y|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Fallout New Vegas Ultimate Edition|18|10/02/2012|Y|N|N|N|Y|N|Y|N||ZeniMax Europe Limited/Bethesda Softworks Europe|Playstation 3
PlayStation 3|House of the Dead III|16|08/02/2012|N|N|N|N|N|N|Y|N||SEGA Europe Ltd|Playstation 3
PlayStation 3|SOULCALIBUR V|16|07/02/2012|N|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|FINAL FANTASY XIII-2|16|03/02/2012|N|N|N|N|N|N|Y|N||Square Enix Ltd|Playstation 3
PlayStation 3|Wheels of Destruction|7|01/02/2012|N|N|N|N|N|N|Y|N||Gelid Games|Playstation 3
PlayStation 3|Ski Doo Challenge|3|27/01/2012|N|N|N|N|N|N|N|N||PQube Limited|Playstation 3
PlayStation 3|Silent Hill 3|18|26/01/2012|N|N|N|N|N|N|Y|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Silent Hill 2|16|26/01/2012|N|N|N|N|N|N|Y|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Snipers|16|10/02/2012|N|N|N|N|N|N|Y|N||Bigben Interactive SA|Playstation 3
PlayStation 3|The Darkness II|18|10/02/2012|Y|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Fallout New Vegas Ultimate Edition|18|10/02/2012|Y|N|N|N|Y|N|Y|N||ZeniMax Europe Limited/Bethesda Softworks Europe|Playstation 3
PlayStation 3|House of the Dead III|16|08/02/2012|N|N|N|N|N|N|Y|N||SEGA Europe Ltd|Playstation 3
PlayStation 3|SOULCALIBUR V|16|07/02/2012|N|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|FINAL FANTASY XIII-2|16|03/02/2012|N|N|N|N|N|N|Y|N||Square Enix Ltd|Playstation 3
PlayStation 3|Wheels of Destruction|7|01/02/2012|N|N|N|N|N|N|Y|N||Gelid Games|Playstation 3
PlayStation 3|Ski Doo Challenge|3|27/01/2012|N|N|N|N|N|N|N|N||PQube Limited|Playstation 3
PlayStation 3|Silent Hill 3|18|26/01/2012|N|N|N|N|N|N|Y|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Silent Hill 2|16|26/01/2012|N|N|N|N|N|N|Y|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Snipers|16|10/02/2012|N|N|N|N|N|N|Y|N||Bigben Interactive SA|Playstation 3
PlayStation 3|The Darkness II|18|10/02/2012|Y|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Fallout New Vegas Ultimate Edition|18|10/02/2012|Y|N|N|N|Y|N|Y|N||ZeniMax Europe Limited/Bethesda Softworks Europe|Playstation 3
PlayStation 3|House of the Dead III|16|08/02/2012|N|N|N|N|N|N|Y|N||SEGA Europe Ltd|Playstation 3
PlayStation 3|SOULCALIBUR V|16|07/02/2012|N|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|FINAL FANTASY XIII-2|16|03/02/2012|N|N|N|N|N|N|Y|N||Square Enix Ltd|Playstation 3
PlayStation 3|Wheels of Destruction|7|01/02/2012|N|N|N|N|N|N|Y|N||Gelid Games|Playstation 3
PlayStation 3|Ski Doo Challenge|3|27/01/2012|N|N|N|N|N|N|N|N||PQube Limited|Playstation 3
PlayStation 3|Silent Hill 3|18|26/01/2012|N|N|N|N|N|N|Y|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Silent Hill 2|16|26/01/2012|N|N|N|N|N|N|Y|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Choplifter HD (tm)|16|06/12/2011|N|N|N|N|N|N|Y|N||InXile Entertainemnt|Playstation 3
PlayStation 3|Bejeweled 3|3|01/12/2011|N|N|N|N|N|N|N|N||PopCap Games, Inc|Playstation 3
PlayStation 3|Saints Row: Money Shot|16|01/12/2011|N|N|Y|N|N|Y|Y|N||Koch Media GmbH (Austria)|Playstation 3
PlayStation 3|Rocketbirds: Hardboiled Chicken|12|01/12/2011|Y|N|N|N|N|N|Y|N||Ratloop Asia PTE Ltd|Playstation 3
PlayStation 3|Who Wants To Be A Millionaire? - Special Editions|3|30/11/2011|N|N|N|N|N|N|N|N||Koch Media GmbH (Austria)|Playstation 3
